area,bedroom,price
 114 m,3 phòng ngủ," 3,39 tỷ "
 82 m,3 phòng ngủ," 2,45 tỷ "
 64 m,4 phòng ngủ," 2,35 tỷ "
 71 m,2 phòng ngủ," 2,38 tỷ "
 63 m,2 phòng ngủ," 1,85 tỷ "
 123 m,3 phòng ngủ," 5,3 tỷ "
 79 m,2 phòng ngủ," 3,4 tỷ "
 96 m,3 phòng ngủ," 3,8 tỷ "
 60 m,2 phòng ngủ," 2,45 tỷ "
 121 m,3 phòng ngủ, 3 tỷ 
 74 m,2 phòng ngủ," 2,9 tỷ "
 76 m,3 phòng ngủ," 1,7 tỷ "
 80 m,2 phòng ngủ," 1,8 tỷ "
 80 m,3 phòng ngủ," 2,6 tỷ "
 100 m,3 phòng ngủ," 4,4 tỷ "
 128 m,3 phòng ngủ," 4,5 tỷ "
 83 m,3 phòng ngủ, 3 tỷ 
 94 m,2 phòng ngủ," 2,89 tỷ "
 75 m,2 phòng ngủ," 2,35 tỷ "
 80 m,2 phòng ngủ," 2,89 tỷ "
 81 m,2 phòng ngủ," 3,3 tỷ "
 165 m,3 phòng ngủ," 4,5 tỷ "
 55 m,2 phòng ngủ," 1,18 tỷ "
 105 m,3 phòng ngủ," 3,5 tỷ "
 120 m,3 phòng ngủ," 3,5 tỷ "
 90 m,2 phòng ngủ," 3,3 tỷ "
 82 m,3 phòng ngủ," 3,28 tỷ "
 52 m,2 phòng ngủ," 1,83 tỷ "
 76 m,2 phòng ngủ," 2,75 tỷ "
 82 m,2 phòng ngủ," 2,52 tỷ "
 100 m,2 phòng ngủ," 3,3 tỷ "
 81 m,2 phòng ngủ," 3,2 tỷ "
 115 m,16 phòng ngủ," 16,5 tỷ "
 84 m,3 phòng ngủ," 3,1 tỷ "
 88 m,3 phòng ngủ," 2,45 tỷ "
 70 m,3 phòng ngủ," 2,33 tỷ "
 64 m,2 phòng ngủ," 2,35 tỷ "
 90 m,3 phòng ngủ," 3,4 tỷ "
 80 m,3 phòng ngủ," 2,7 tỷ "
 45 m,3 phòng ngủ," 5,5 tỷ "
 99 m,3 phòng ngủ," 4,35 tỷ "
 88 m,3 phòng ngủ," 2,45 tỷ "
 50 m,2 phòng ngủ," 1,3 tỷ "
 50 m,2 phòng ngủ," 1,3 tỷ "
 76 m,3 phòng ngủ," 3,1 tỷ "
 32 m,1 phòng ngủ, 630 triệu 
 72 m,2 phòng ngủ," 2,3 tỷ "
 100 m,3 phòng ngủ," 2,95 tỷ "
 60 m,2 phòng ngủ," 1,76 tỷ "
 70 m,3 phòng ngủ," 2,35 tỷ "
 90 m,3 phòng ngủ," 2,7 tỷ "
 76 m,2 phòng ngủ," 3,2 tỷ "
 68 m,2 phòng ngủ," 1,75 tỷ "
 92 m,3 phòng ngủ," 3,6 tỷ "
 55 m,," 1,6 tỷ "
 66 m,2 phòng ngủ," 1,77 tỷ "
 54 m,2 phòng ngủ," 1,34 tỷ "
 54 m,2 phòng ngủ," 1,35 tỷ "
 54 m,2 phòng ngủ," 1,35 tỷ "
 76 m,3 phòng ngủ," 2,3 tỷ "
 66 m,2 phòng ngủ," 2,7 tỷ "
 54 m,2 phòng ngủ," 1,89 tỷ "
 90 m,3 phòng ngủ," 3,3 tỷ "
 140 m,3 phòng ngủ," 3,65 tỷ "
 69 m,2 phòng ngủ," 2,2 tỷ "
 100 m,3 phòng ngủ," 3,68 tỷ "
 80 m,2 phòng ngủ," 2,7 tỷ "
 74 m,3 phòng ngủ," 3,5 tỷ "
 78 m,," 2,9 tỷ "
 76 m,2 phòng ngủ, 3 tỷ 
 103 m,3 phòng ngủ," 3,4 tỷ "
 130 m,4 phòng ngủ," 3,6 tỷ "
 90 m,3 phòng ngủ," 4,1 tỷ "
 60 m,2 phòng ngủ," 1,55 tỷ "
 90 m,3 phòng ngủ," 2,6 tỷ "
 85 m,2 phòng ngủ," 3,2 tỷ "
 80 m,10 phòng ngủ," 10,7 tỷ "
 81 m,2 phòng ngủ," 27,5 tỷ "
 72 m,2 phòng ngủ," 3,25 tỷ "
 65 m,2 phòng ngủ," 2,79 tỷ "
 90 m,2 phòng ngủ," 2,6 tỷ "
 79 m,2 phòng ngủ," 2,34 tỷ "
 66 m,2 phòng ngủ," 2,9 tỷ "
 55 m,2 phòng ngủ," 1,21 tỷ "
 85 m,2 phòng ngủ," 2,5 tỷ "
 76 m,2 phòng ngủ," 2,97 tỷ "
 80 m,2 phòng ngủ," 2,5 tỷ "
 72 m,2 phòng ngủ," 2,6 tỷ "
 65 m,2 phòng ngủ," 2,7 tỷ "
 57 m,2 phòng ngủ," 1,8 tỷ "
 66 m,2 phòng ngủ," 2,6 tỷ "
 68 m,2 phòng ngủ," 2,6 tỷ "
 66 m,2 phòng ngủ," 2,2 tỷ "
 48 m,3 phòng ngủ," 1,55 tỷ "
 74 m,2 phòng ngủ," 2,5 tỷ "
 88 m,2 phòng ngủ, 2 tỷ 
 74 m,23 phòng ngủ," 2,5 tỷ "
 80 m,3 phòng ngủ," 2,42 tỷ "
 176 m,3 phòng ngủ," 6,6 tỷ "
 70 m,2 phòng ngủ," 1,42 tỷ "
 70 m,2 phòng ngủ," 1,42 tỷ "
 68 m,2 phòng ngủ," 1,75 tỷ "
 100 m,4 phòng ngủ," 3,7 tỷ "
 56 m,2 phòng ngủ, 1 tỷ 
 54 m,, 1 tỷ 
 86 m,3 phòng ngủ," 3,3 tỷ "
 58 m,2 phòng ngủ," 1,75 tỷ "
 99 m,3 phòng ngủ," 3,3 tỷ "
 90 m,3 phòng ngủ," 3,05 tỷ "
 71 m,2 phòng ngủ," 2,235 tỷ "
 78 m,3 phòng ngủ," 2,15 tỷ "
 85 m,3 phòng ngủ," 3,5 tỷ "
 90 m,3 phòng ngủ, 35 triệu / m
 100 m,3 phòng ngủ," 3,6 tỷ "
 62 m,2 phòng ngủ," 2,8 tỷ "
 33 m,1 phòng ngủ, 801 triệu 
 90 m,3 phòng ngủ," 3,36 tỷ "
 90 m,3 phòng ngủ," 2,55 tỷ "
 130 m,3 phòng ngủ," 3,8 tỷ "
 80 m,2 phòng ngủ," 2,7 tỷ "
 105 m,3 phòng ngủ," 3,45 tỷ "
 68 m,2 phòng ngủ," 1,9 tỷ "
 40 m,11 phòng ngủ," 4,98 tỷ "
 90 m,3 phòng ngủ," 2,7 tỷ "
 90 m,3 phòng ngủ, 2 tỷ 
 96 m,3 phòng ngủ," 3,8 tỷ "
 94 m,3 phòng ngủ," 3,79 tỷ "
 56 m,2 phòng ngủ," 1,55 tỷ "
 93 m,3 phòng ngủ," 2,4 tỷ "
 124 m,3 phòng ngủ," 3,25 tỷ "
 80 m,2 phòng ngủ, 50 triệu / m
 90 m,2 phòng ngủ," 3,25 tỷ "
 70 m,2 phòng ngủ," 2,45 tỷ "
 83 m,3 phòng ngủ," 2,85 tỷ "
 77 m,2 phòng ngủ," 2,5 tỷ "
 85 m,3 phòng ngủ," 3,25 tỷ "
 73 m,2 phòng ngủ," 1,9 tỷ "
 122 m,22 phòng ngủ," 21,4 tỷ "
 58 m,2 phòng ngủ, 2 tỷ 
 130 m,3 phòng ngủ," 3,8 tỷ "
 68 m,2 phòng ngủ," 2,52 tỷ "
 83 m,3 phòng ngủ," 4,15 tỷ "
 68 m,2 phòng ngủ, 3 tỷ 
 93 m,3 phòng ngủ," 2,4 tỷ "
 72 m,2 phòng ngủ," 2,9 tỷ "
 90 m,3 phòng ngủ," 3,7 tỷ "
 142 m,4 phòng ngủ," 4,85 tỷ "
 93 m,3 phòng ngủ," 4,85 tỷ "
 100 m,3 phòng ngủ," 3,4 tỷ "
 70 m,2 phòng ngủ," 2,2 tỷ "
 65 m,2 phòng ngủ," 1,43 tỷ "
 74 m,3 phòng ngủ," 1,9 tỷ "
 90 m,3 phòng ngủ," 2,55 tỷ "
 77 m,2 phòng ngủ," 2,3 tỷ "
 86 m,3 phòng ngủ," 4,05 tỷ "
 71 m,2 phòng ngủ," 3,35 tỷ "
 74 m,2 phòng ngủ," 1,98 tỷ "
 54 m,2 phòng ngủ," 1,6 tỷ "
 100 m,2 phòng ngủ," 3,3 tỷ "
 80 m,3 phòng ngủ," 1,78 tỷ "
 67 m,2 phòng ngủ," 1,65 tỷ "
 46 m,2 phòng ngủ, 699 triệu 
 86 m,2 phòng ngủ," 2,43 tỷ "
 53 m,2 phòng ngủ, 2 tỷ 
 80 m,2 phòng ngủ," 2,7 tỷ "
 90 m,3 phòng ngủ," 2,95 tỷ "
 68 m,2 phòng ngủ," 2,79 tỷ "
 80 m,2 phòng ngủ," 2,95 tỷ "
 118 m,3 phòng ngủ," 2,79 tỷ "
 142 m,3 phòng ngủ," 4,85 tỷ "
 75 m,2 phòng ngủ," 2,3 tỷ "
 55 m,1 phòng ngủ, 2 tỷ 
 70 m,3 phòng ngủ, 2 tỷ 
 62 m,2 phòng ngủ, 3 tỷ 
 52 m,2 phòng ngủ, 2 tỷ 
 48 m,1 phòng ngủ, 2 tỷ 
 61 m,2 phòng ngủ," 2,6 tỷ "
 90 m,3 phòng ngủ," 2,55 tỷ "
 76 m,2 phòng ngủ, 2 tỷ 
 59 m,2 phòng ngủ, 2 tỷ 
 85 m,2 phòng ngủ," 3,2 tỷ "
 65 m,2 phòng ngủ," 1,9 tỷ "
 62 m,2 phòng ngủ," 1,65 tỷ "
 80 m,2 phòng ngủ," 3,2 tỷ "
 71 m,3 phòng ngủ," 2,5 tỷ "
 83 m,3 phòng ngủ," 2,65 tỷ "
 64 m,2 phòng ngủ," 2,35 tỷ "
 80 m,2 phòng ngủ," 2,5 tỷ "
 82 m,2 phòng ngủ," 4,3 tỷ "
 100 m,2 phòng ngủ," 2,89 tỷ "
 78 m,3 phòng ngủ," 1,93 tỷ "
 83 m,3 phòng ngủ," 2,7 tỷ "
 82 m,3 phòng ngủ," 2,65 tỷ "
 77 m,3 phòng ngủ," 2,55 tỷ "
 82 m,3 phòng ngủ, 3 tỷ 
 80 m,3 phòng ngủ," 3,45 tỷ "
 54 m,2 phòng ngủ," 1,45 tỷ "
 91 m,3 phòng ngủ," 3,5 tỷ "
 63 m,2 phòng ngủ," 2,3 tỷ "
 33 m,2 phòng ngủ, 600 triệu 
 36 m,1 phòng ngủ, 600 triệu 
 141 m,3 phòng ngủ," 4,8 tỷ "
 60 m,2 phòng ngủ," 1,85 tỷ "
 60 m,2 phòng ngủ," 3,35 tỷ "
 68 m,2 phòng ngủ," 2,35 tỷ "
 76 m,3 phòng ngủ," 2,56 tỷ "
 80 m,2 phòng ngủ," 2,45 tỷ "
