area,bedroom,price,floor,road-width,parking
 81 m,2 phòng ngủ," 3,2 tỷ ",5 lầu,8m,chỗ để xe
 111 m,2 phòng ngủ," 2,68 tỷ ",3 lầu,20m,
 70 m,2 phòng ngủ," 2,15 tỷ ",6 lầu,30m,
 83 m,2 phòng ngủ," 2,9 tỷ ",10 lầu,10m,
 70 m,2 phòng ngủ," 2,8 tỷ ",20 lầu,30m,
 74 m,2 phòng ngủ," 2,65 tỷ ",20 lầu,30m,
 130 m,3 phòng ngủ," 3,8 tỷ ",20 lầu,15m,chỗ để xe
 123 m,3 phòng ngủ," 4,8 tỷ ",10 lầu,30m,chỗ để xe
 92 m,3 phòng ngủ," 3,5 tỷ ",6 lầu,10m,
 57 m,2 phòng ngủ," 1,8 tỷ ",,0m,
 62 m,2 phòng ngủ," 2,3 tỷ ",1 lầu,20m,
 67 m,2 phòng ngủ, 45 triệu / m,32 lầu,,chỗ để xe
 88 m,2 phòng ngủ," 2,95 tỷ ",,,chỗ để xe
 66 m,2 phòng ngủ," 2,6 tỷ ",,0m,
 90 m,3 phòng ngủ," 3,05 tỷ ",1 lầu,5m,chỗ để xe
 80 m,3 phòng ngủ," 2,62 tỷ ",1 lầu,20m,
 90 m,3 phòng ngủ," 3,7 tỷ ",1 lầu,20m,
 139 m,3 phòng ngủ," 3,6 tỷ ",27 lầu,"4,5m",
 86 m,," 3,3 tỷ ",,6m,chỗ để xe
 53 m,2 phòng ngủ, 2 tỷ ,,0m,
 78 m,2 phòng ngủ," 2,9 tỷ ",,,chỗ để xe
 80 m,2 phòng ngủ," 3,1 tỷ ",,,chỗ để xe
 65 m,2 phòng ngủ," 1,75 tỷ ",,5m,
 190 m,3 phòng ngủ," 3,55 tỷ ",18 lầu,80m,chỗ để xe
 32 m,1 phòng ngủ, 630 triệu ,1 lầu,,
 65 m,2 phòng ngủ," 2,84 tỷ ",,16m,chỗ để xe
 45 m,3 phòng ngủ," 5,5 tỷ ",1 lầu,15m,chỗ để xe
 84 m,18 phòng ngủ," 15,6 tỷ ",8 lầu,3m,
 57 m,2 phòng ngủ," 47,5 triệu / m",,30m,
 66 m,2 phòng ngủ," 2,8 tỷ ",8 lầu,10m,chỗ để xe
 76 m,2 phòng ngủ," 2,9 tỷ ",20 lầu,10m,chỗ để xe
 80 m,2 phòng ngủ, 50 triệu / m,29 lầu,,
 76 m,2 phòng ngủ," 3,2 tỷ ",1 lầu,,chỗ để xe
 80 m,2 phòng ngủ, 30 triệu / m,5 lầu,30m,chỗ để xe
 71 m,2 phòng ngủ, 35 triệu / m,16 lầu,,
 70 m,2 phòng ngủ, 20 triệu / m,20 lầu,,
 125 m,3 phòng ngủ," 3,7 tỷ ",1 lầu,20m,
 65 m,2 phòng ngủ," 1,79 tỷ ",33 lầu,15m,chỗ để xe
 70 m,2 phòng ngủ," 2,05 tỷ ",12 lầu,14m,
 140 m,3 phòng ngủ," 3,65 tỷ ",14 lầu,,chỗ để xe
 49 m,1 phòng ngủ," 1,76 tỷ ",1 lầu,6m,chỗ để xe
 60 m,2 phòng ngủ," 1,98 tỷ ",1 lầu,,
 76 m,3 phòng ngủ," 2,95 tỷ ",1 lầu,,
 110 m,5 phòng ngủ," 2,4 tỷ ",3 lầu,5m,chỗ để xe
 72 m,2 phòng ngủ," 2,8 tỷ ",21 lầu,,
 49 m,1 phòng ngủ," 1,63 tỷ ",15 lầu,,chỗ để xe
 57 m,2 phòng ngủ, 220 triệu ,9 lầu,,
 80 m,2 phòng ngủ," 2,65 tỷ ",9 lầu,17m,
 86 m,2 phòng ngủ," 2,85 tỷ ",1 lầu,1m,chỗ để xe
