area,bedroom,price
114.0,3.0,3.39
82.0,3.0,2.45
64.0,4.0,2.35
71.0,2.0,2.38
63.0,2.0,1.85
123.0,3.0,5.3
79.0,2.0,3.4
96.0,3.0,3.8
60.0,2.0,2.45
121.0,3.0,3.0
74.0,2.0,2.9
76.0,3.0,1.7
80.0,2.0,1.8
80.0,3.0,2.6
100.0,3.0,4.4
128.0,3.0,4.5
83.0,3.0,3.0
94.0,2.0,2.89
75.0,2.0,2.35
80.0,2.0,2.89
81.0,2.0,3.3
165.0,3.0,4.5
55.0,2.0,1.18
105.0,3.0,3.5
120.0,3.0,3.5
90.0,2.0,3.3
82.0,3.0,3.28
52.0,2.0,1.83
76.0,2.0,2.75
82.0,2.0,2.52
100.0,2.0,3.3
81.0,2.0,3.2
84.0,3.0,3.1
88.0,3.0,2.45
70.0,3.0,2.33
64.0,2.0,2.35
90.0,3.0,3.4
80.0,3.0,2.7
45.0,3.0,5.5
99.0,3.0,4.35
88.0,3.0,2.45
50.0,2.0,1.3
50.0,2.0,1.3
76.0,3.0,3.1
32.0,1.0,0.63
72.0,2.0,2.3
100.0,3.0,2.95
60.0,2.0,1.76
70.0,3.0,2.35
90.0,3.0,2.7
76.0,2.0,3.2
68.0,2.0,1.75
92.0,3.0,3.6
66.0,2.0,1.77
54.0,2.0,1.34
54.0,2.0,1.35
54.0,2.0,1.35
76.0,3.0,2.3
66.0,2.0,2.7
54.0,2.0,1.89
90.0,3.0,3.3
140.0,3.0,3.65
69.0,2.0,2.2
100.0,3.0,3.68
80.0,2.0,2.7
74.0,3.0,3.5
76.0,2.0,3.0
103.0,3.0,3.4
130.0,4.0,3.6
90.0,3.0,4.1
60.0,2.0,1.55
90.0,3.0,2.6
85.0,2.0,3.2
72.0,2.0,3.25
65.0,2.0,2.79
90.0,2.0,2.6
79.0,2.0,2.34
66.0,2.0,2.9
55.0,2.0,1.21
85.0,2.0,2.5
76.0,2.0,2.97
80.0,2.0,2.5
72.0,2.0,2.6
65.0,2.0,2.7
57.0,2.0,1.8
66.0,2.0,2.6
68.0,2.0,2.6
66.0,2.0,2.2
48.0,3.0,1.55
74.0,2.0,2.5
88.0,2.0,2.0
80.0,3.0,2.42
176.0,3.0,6.6
70.0,2.0,1.42
