area,bedroom,price,floor,road-width,parking
81.0,2.0,3.2,5.0,8.0,1
111.0,2.0,2.68,3.0,20.0,0
70.0,2.0,2.15,6.0,30.0,0
83.0,2.0,2.9,10.0,10.0,0
70.0,2.0,2.8,20.0,30.0,0
74.0,2.0,2.65,20.0,30.0,0
130.0,3.0,3.8,20.0,15.0,1
123.0,3.0,4.8,10.0,30.0,1
92.0,3.0,3.5,6.0,10.0,0
57.0,2.0,1.8,,0.0,0
62.0,2.0,2.3,1.0,20.0,0
67.0,2.0,3.02,32.0,,1
88.0,2.0,2.95,,,1
66.0,2.0,2.6,,0.0,0
90.0,3.0,3.05,1.0,5.0,1
80.0,3.0,2.62,1.0,20.0,0
90.0,3.0,3.7,1.0,20.0,0
139.0,3.0,3.6,27.0,4.5,0
53.0,2.0,2.0,,0.0,0
78.0,2.0,2.9,,,1
80.0,2.0,3.1,,,1
65.0,2.0,1.75,,5.0,0
190.0,3.0,3.55,18.0,80.0,1
32.0,1.0,0.63,1.0,,0
65.0,2.0,2.84,,16.0,1
45.0,3.0,5.5,1.0,15.0,1
57.0,2.0,2.71,,30.0,0
66.0,2.0,2.8,8.0,10.0,1
76.0,2.0,2.9,20.0,10.0,1
80.0,2.0,4.0,29.0,,0
76.0,2.0,3.2,1.0,,1
80.0,2.0,2.4,5.0,30.0,1
71.0,2.0,2.48,16.0,,0
70.0,2.0,1.4,20.0,,0
125.0,3.0,3.7,1.0,20.0,0
65.0,2.0,1.79,33.0,15.0,1
70.0,2.0,2.05,12.0,14.0,0
140.0,3.0,3.65,14.0,,1
49.0,1.0,1.76,1.0,6.0,1
60.0,2.0,1.98,1.0,,0
76.0,3.0,2.95,1.0,,0
72.0,2.0,2.8,21.0,,0
49.0,1.0,1.63,15.0,,1
57.0,2.0,0.22,9.0,,0
80.0,2.0,2.65,9.0,17.0,0
86.0,2.0,2.85,1.0,1.0,1
56.0,2.0,1.12,6.0,,0
61.0,2.0,2.7,,40.0,1
97.0,3.0,2.77,1.0,8.0,1
70.0,2.0,1.8,11.0,,0
115.0,3.0,3.65,23.0,63.0,0
62.0,2.0,3.0,,0.0,0
52.0,2.0,2.0,,,1
48.0,1.0,2.0,,0.0,0
90.0,3.0,3.05,12.0,30.0,0
81.0,3.0,1.8,1.0,,0
71.0,2.0,3.2,,,1
70.0,2.0,2.85,5.0,8.0,0
80.0,2.0,3.1,16.0,10.0,0
86.0,3.0,2.75,,,0
85.0,3.0,3.0,,,0
77.0,2.0,2.3,1.0,10.0,1
65.0,2.0,2.7,18.0,40.0,1
86.0,2.0,3.0,,26.0,1
120.0,3.0,3.5,4.0,10.0,0
62.0,2.0,2.3,15.0,,0
82.0,2.0,2.4,1.0,2.0,0
100.0,3.0,3.6,5.0,,1
99.0,3.0,3.9,,,0
72.0,3.0,1.93,6.0,2.0,0
62.0,2.0,2.09,12.0,,0
80.0,2.0,2.95,15.0,17.0,0
68.0,2.0,2.6,,,1
99.0,3.0,3.3,9.0,20.0,0
77.0,3.0,2.55,10.0,20.0,0
82.0,3.0,2.65,6.0,20.0,0
69.0,2.0,2.69,1.0,5.0,1
76.0,2.0,2.95,20.0,,0
65.0,2.0,2.86,26.0,,0
69.0,2.0,2.5,20.0,20.0,0
50.0,2.0,0.6,6.0,,0
92.0,3.0,2.5,12.0,,0
99.0,3.0,4.35,5.0,10.0,0
67.0,2.0,1.65,,,0
94.0,3.0,3.79,19.0,,0
72.0,2.0,1.99,,,1
91.0,2.0,2.99,19.0,,0
70.0,2.0,2.3,2.0,,1
68.0,2.0,3.0,21.0,,1
93.0,3.0,2.6,1.0,4.0,1
80.0,2.0,2.89,1.0,5.0,1
75.0,2.0,2.55,15.0,,0
91.0,3.0,3.8,1.0,15.0,1
55.0,1.0,2.0,,,1
74.0,2.0,2.1,31.0,,0
99.0,3.0,3.3,26.0,5.0,1
70.0,2.0,3.35,1.0,25.0,0
58.0,2.0,1.78,21.0,,0
77.0,3.0,3.6,1.0,30.0,1
130.0,2.0,3.0,3.0,20.0,1
63.0,2.0,1.78,,,0
74.0,3.0,2.15,1.0,3.0,1
78.0,3.0,2.05,30.0,,1
101.0,3.0,3.4,17.0,,0
74.0,2.0,1.39,,,0
85.0,2.0,2.4,,,0
90.0,3.0,3.49,,,0
63.0,2.0,2.16,21.0,,0
82.0,2.0,2.68,1.0,10.0,1
76.0,3.0,1.7,10.0,,0
80.0,2.0,1.8,12.0,,0
77.0,3.0,2.3,10.0,,0
112.0,3.0,3.45,1.0,3.0,1
65.0,2.0,2.5,,,0
54.0,2.0,2.4,,,0
72.0,2.0,1.65,10.0,,0
66.0,2.0,1.47,30.0,,0
71.0,2.0,3.35,1.0,,0
67.0,2.0,1.48,1.0,,0
75.0,2.0,2.4,1.0,,0
32.0,2.0,1.1,2.0,,1
69.0,2.0,2.98,,,0
57.0,2.0,1.42,5.0,,0
86.0,3.0,3.55,1.0,,0
67.0,2.0,3.1,1.0,,0
68.0,2.0,2.7,,,0
81.0,3.0,2.65,6.0,,0
134.0,3.0,3.1,,,0
71.0,2.0,1.79,,,0
75.0,2.0,2.85,1.0,,1
76.0,2.0,3.1,1.0,30.0,1
140.0,3.0,4.58,1.0,30.0,1
75.0,2.0,2.0,1.0,20.0,1
62.0,2.0,1.42,1.0,30.0,1
71.0,2.0,2.1,11.0,12.0,1
62.0,2.0,1.95,35.0,,0
70.0,2.0,1.85,1.0,,0
62.0,2.0,3.1,1.0,,0
95.0,3.0,2.9,1.0,,0
75.0,2.0,2.46,1.0,,0
76.0,3.0,2.56,,,0
71.0,3.0,2.2,,,0
88.0,3.0,2.45,6.0,,1
93.0,3.0,3.95,,20.0,0
62.0,2.0,1.7,9.0,20.0,0
85.0,2.0,2.4,20.0,,0
63.0,2.0,2.95,17.0,4.0,0
80.0,3.0,2.5,7.0,20.0,1
95.0,3.0,4.25,1.0,,0
63.0,2.0,2.25,1.0,,0
91.0,3.0,3.5,1.0,,0
76.0,2.0,2.0,,,0
106.0,3.0,4.2,5.0,20.0,1
60.0,2.0,2.45,15.0,30.0,0
121.0,3.0,3.0,4.0,30.0,0
76.0,3.0,3.6,16.0,,0
71.0,2.0,1.75,1.0,20.0,1
112.0,3.0,3.25,1.0,10.0,0
92.0,3.0,2.9,25.0,10.0,0
65.0,2.0,2.83,18.0,12.0,0
65.0,2.0,1.75,1.0,,0
80.0,3.0,2.45,6.0,,0
65.0,2.0,2.25,1.0,30.0,1
106.0,3.0,4.1,,,1
95.0,3.0,2.68,3.0,10.0,1
75.0,3.0,2.0,1.0,3.0,0
108.0,3.0,5.0,16.0,8.0,0
81.0,2.0,2.6,1.0,10.0,0
74.0,3.0,2.1,1.0,10.0,0
75.0,2.0,2.8,1.0,20.0,0
86.0,3.0,2.32,,,0
71.0,2.0,2.35,,,0
71.0,2.0,1.75,26.0,,1
66.0,2.0,2.7,,,1
60.0,2.0,1.73,11.0,,0
79.0,2.0,2.5,,,0
72.0,2.0,2.88,1.0,8.0,0
69.0,2.0,1.8,15.0,,0
74.0,3.0,1.95,43.0,,0
76.0,3.0,1.98,9.0,20.0,1
64.0,4.0,2.35,4.0,8.0,0
82.0,3.0,2.45,10.0,,0
78.0,2.0,1.75,,,0
76.0,2.0,2.3,,,0
76.0,2.0,2.05,,,0
123.0,4.0,3.57,19.0,,0
117.0,3.0,3.39,27.0,,1
65.0,2.0,2.24,,,0
62.0,2.0,2.8,,,0
76.0,2.0,3.0,,4.0,0
86.0,3.0,2.25,1.0,4.0,1
54.0,2.0,1.57,45.0,,0
76.0,3.0,1.78,17.0,,0
130.0,3.0,3.65,21.0,,0
65.0,2.0,1.45,1.0,4.0,0
89.0,3.0,2.2,,,0
91.0,3.0,3.8,,,0
76.0,2.0,2.65,,,0
75.0,2.0,2.15,,,0
74.0,2.0,2.52,,6.0,1
60.0,2.0,1.66,1.0,50.0,0
70.0,3.0,2.33,20.0,,1
64.0,2.0,2.35,15.0,,1
90.0,3.0,3.4,26.0,,1
81.0,3.0,1.8,,,0
83.0,3.0,2.25,,,0
51.0,2.0,2.09,10.0,,1
100.0,3.0,2.9,,,1
40.0,2.0,0.95,2.0,5.0,0
65.0,2.0,1.65,40.0,,0
80.0,3.0,3.0,19.0,,0
56.0,2.0,1.33,25.0,,0
85.0,2.0,3.6,20.0,,0
65.0,2.0,1.85,42.0,1.0,0
108.0,3.0,5.5,19.0,,0
60.0,2.0,2.28,5.0,,0
56.0,2.0,1.45,28.0,,0
60.0,2.0,1.63,,30.0,1
60.0,2.0,1.3,,,1
65.0,2.0,1.66,28.0,,0
77.0,2.0,2.7,15.0,,1
67.0,2.0,3.28,1.0,6.0,0
65.0,2.0,2.7,,6.0,0
64.0,2.0,1.4,1.0,30.0,1
92.0,3.0,3.6,5.0,5.0,1
80.0,3.0,2.42,10.0,,1
75.0,3.0,2.9,2.0,3.0,1
90.0,3.0,4.1,35.0,,0
30.0,2.0,0.95,,,0
65.0,2.0,1.43,,4.5,1
60.0,2.0,2.15,,,0
76.0,3.0,3.5,16.0,,0
85.0,3.0,2.8,10.0,15.0,1
75.0,2.0,2.4,7.0,,0
80.0,2.0,2.9,1.0,,0
77.0,3.0,1.39,6.0,,0
